total_sessions,total_viewing_hours,avg_session_duration_min,sessions_per_week,distinct_channels,avg_happiness_score,avg_buffer_ratio,error_rate,avg_bitrate,pct_episode,pct_sport,pct_live,pct_show,distinct_devices,avg_pause_count,avg_seek_count,viewing_time_trend,error_rate_trend,session_frequency_trend,label
55,8.8287,9.6313,41.0823,31,5.3529,0.2923,0.0,3122299.6909,50.0,4.1667,2.0833,43.75,3,0.3818,0.2364,0.0,0.0,0.0,1
6,0.0041,0.041,6.0,0,0.4829,0.0,0.0,121239.3333,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,0.0,1
30,1.8463,3.6925,30.0,6,2.0634,0.6102,0.4667,1482048.2333,53.3333,0.0,0.0,46.6667,3,0.1,0.0667,0.0,0.0,0.0,1
32,22.8459,42.8361,2.1721,14,3.9768,2.5145,0.125,2157493.5938,85.7143,0.0,14.2857,0.0,4,0.125,0.1875,-0.0954,-0.2,-0.5,1
60,7.3845,7.3845,46.4554,26,1.5931,0.6918,0.3833,1201232.1,50.8475,3.3898,1.6949,44.0678,2,0.0833,0.0833,0.0,0.0,0.0,1
28,5.6446,12.0957,21.4185,4,2.9177,4.1954,0.0,3304364.2143,60.7143,25.0,10.7143,3.5714,2,0.2143,0.3571,0.0,0.0,0.0,1
100,93.6089,56.1654,19.24,10,5.0431,0.4517,0.06,2760553.14,4.0,0.0,14.0,82.0,2,0.73,0.21,-6.937,-0.0877,-15.0,1
62,14.1517,13.6952,43.6985,16,4.3056,0.6909,0.129,2664635.0645,82.4561,0.0,0.0,17.5439,4,0.4677,0.129,0.0,0.0,0.0,1
8,12.5373,94.0294,5.986,3,5.1598,1.0091,0.0,2428731.25,75.0,0.0,12.5,12.5,2,0.5,0.0,0.0,0.0,0.0,1
100,43.732,26.2392,11.1861,15,5.2178,2.4046,0.16,3304337.59,62.8571,0.0,2.8571,34.2857,3,0.43,0.18,0.067,-0.13,-7.5,1
45,8.5841,11.4455,30.9443,27,4.6981,0.4213,0.0222,2999354.2222,37.8378,0.0,0.0,62.1622,2,0.1333,0.0,0.0,0.0,0.0,1
11,7.3476,40.0778,1.2586,6,2.7188,1.4914,0.1818,3607242.0,36.3636,36.3636,9.0909,18.1818,1,0.4545,0.0,0.4683,-0.4667,3.5,1
17,6.1635,21.7535,11.1087,6,3.4315,0.2761,0.0,2680438.1176,92.3077,0.0,0.0,7.6923,2,0.2941,0.0588,0.0,0.0,0.0,1
82,27.8117,20.35,57.2076,7,5.3744,1.081,0.0244,3914283.7683,91.4634,0.0,4.878,3.6585,4,0.4146,0.6341,0.0,0.0,0.0,1
8,0.0206,0.1546,8.0,3,0.5739,0.0514,0.625,1066080.0,100.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
49,29.0774,35.605,3.7252,7,3.8239,15.2635,0.3265,3122043.0204,78.9474,0.0,0.0,21.0526,1,0.4286,0.1429,0.4275,0.2889,-2.0,1
9,8.0468,53.6456,6.8568,7,5.6695,2.4865,0.1111,3287434.2222,75.0,0.0,0.0,25.0,1,0.8889,0.1111,0.0,0.0,0.0,1
68,16.0809,14.189,11.5728,6,5.7991,1.2707,0.2059,4108803.2794,91.1765,0.0,0.0,8.8235,2,0.1324,0.6176,-0.1311,0.0229,-2.0,1
17,3.096,10.9269,1.203,7,2.8269,1.4694,0.2941,1935122.6471,71.4286,7.1429,0.0,21.4286,2,0.2353,4.0588,-0.0097,0.0,1.0,1
52,1.1505,1.3275,52.0,6,0.2737,10.9673,0.8077,715818.3846,48.7805,51.2195,0.0,0.0,2,0.0,0.1154,0.0,0.0,0.0,1
100,33.8952,20.3371,35.7565,18,6.3119,0.1593,0.0,3643962.28,68.2353,0.0,1.1765,30.5882,2,0.42,1.43,0.0,0.0,0.0,1
12,23.5043,117.5213,9.1134,4,7.2909,0.0,0.0,3464164.8333,33.3333,0.0,0.0,66.6667,1,0.4167,0.0,0.0,0.0,0.0,1
100,31.6719,19.0031,76.0265,9,6.015,0.5156,0.01,3506483.68,98.0,0.0,0.0,2.0,3,0.31,0.48,0.0,0.0,0.0,1
54,4.8489,5.3877,54.0,16,3.9378,0.9702,0.1111,2917555.463,86.3636,0.0,0.0,13.6364,2,0.2593,0.5926,0.0,0.0,0.0,1
5,0.2313,2.7759,5.0,1,5.4424,4.0123,0.0,3898604.6,0.0,0.0,0.0,100.0,2,0.6,0.0,0.0,0.0,0.0,1
24,4.9328,12.332,24.0,3,3.2549,5.4969,0.125,2282805.5833,83.3333,0.0,4.1667,12.5,4,0.125,0.5417,0.0,0.0,0.0,1
14,0.0461,0.1977,14.0,10,2.8189,0.0,0.0714,2919923.3571,33.3333,0.0,0.0,66.6667,2,0.0,0.0,0.0,0.0,0.0,1
7,0.9132,7.8272,7.0,0,3.9742,1.2599,0.0,3774914.4286,25.0,25.0,25.0,25.0,0,0.4286,0.0,0.0,0.0,0.0,1
100,42.4097,25.4458,76.3745,20,4.8384,1.1224,0.05,2102136.89,53.5714,0.0,0.0,46.4286,2,0.45,0.08,0.0,0.0,0.0,1
5,3.7798,45.3577,3.7863,3,4.0036,0.0072,0.2,2919815.2,80.0,0.0,0.0,20.0,2,0.2,0.0,0.0,0.0,0.0,1
100,105.1694,63.1016,35.2805,30,3.5285,0.0138,0.03,963160.41,66.6667,0.0,11.1111,22.2222,4,0.06,0.05,0.0,0.0,0.0,1
66,11.4802,10.4365,22.2118,15,4.1206,0.0167,0.0152,3569075.0758,5.1724,0.0,0.0,94.8276,2,0.3788,0.1515,0.0,0.0,0.0,1
18,5.7104,19.0347,12.5803,8,3.4391,1.4825,0.1667,2141655.2222,72.2222,5.5556,0.0,22.2222,4,0.3333,0.4444,0.0,0.0,0.0,1
20,5.5298,16.5895,15.1056,12,3.8272,0.3775,0.05,2578114.85,60.0,0.0,0.0,40.0,1,0.8,1.75,0.0,0.0,0.0,1
24,5.1393,12.8483,18.2064,5,3.6281,2.114,0.0417,3602464.75,91.3043,0.0,0.0,8.6957,3,0.125,0.0417,0.0,0.0,0.0,1
42,8.6774,12.3962,28.7103,18,3.3962,2.3811,0.3333,2888064.0476,57.1429,0.0,0.0,42.8571,3,0.2857,0.2143,0.0,0.0,0.0,1
30,4.5235,9.0469,30.0,3,4.3228,6.5609,0.3,3456853.0,79.3103,0.0,0.0,20.6897,2,0.2667,0.0667,0.0,0.0,0.0,1
7,4.9077,42.0662,7.0,5,5.3063,0.4814,0.0,2683910.4286,42.8571,14.2857,0.0,42.8571,2,1.5714,0.0,0.0,0.0,0.0,1
33,8.4823,15.4224,33.0,9,2.0788,8.8545,0.1212,3026199.7879,88.8889,0.0,0.0,11.1111,1,0.8788,0.303,0.0,0.0,0.0,1
15,0.0842,0.3368,15.0,9,1.4215,0.0,0.8,27573.2,66.6667,0.0,0.0,33.3333,2,0.1333,0.0667,0.0,0.0,0.0,1
55,30.0713,32.805,3.7306,23,2.8913,0.6555,0.0545,1296116.9455,63.6364,0.0,0.0,36.3636,2,0.2364,0.1091,-0.2634,-0.1,-3.0,1
64,15.2437,14.2909,7.5441,8,2.8819,0.9754,0.2031,1861434.3281,77.7778,0.0,12.6984,9.5238,3,0.2656,0.125,-0.573,-0.22,-19.5,1
6,0.0105,0.1046,6.0,1,2.3793,0.0,0.1667,1942478.6667,100.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
22,10.5166,28.6817,16.5324,9,4.7464,0.3558,0.0455,3195566.0909,57.8947,5.2632,0.0,36.8421,1,1.0,0.1818,0.0,0.0,0.0,1
